Ethyl_acetate(Ca0),NaOH(Cb0),Temperature(T(°C)),Time_of_reaction(min),Conversion(X_A)
0.079,0.045,30.210000000000036,28.668333333333333,0.57
0.017,0.071,37.64000000000004,7.647666666666667,0.999
0.042,0.03,56.32000000000005,8.870666666666667,0.7025
0.02,0.095,48.870000000000005,28.618333333333332,1.0
0.088,0.081,22.80000000000001,23.413333333333334,0.8989
0.066,0.018,24.129999999999995,27.074833333333334,0.27
0.04,0.048,38.09000000000003,10.065833333333334,0.9423
0.016,0.089,53.670000000000016,19.689666666666668,1.0
0.038,0.095,40.700000000000045,22.5285,1.0
0.039,0.052,39.27000000000004,22.002833333333335,0.998
0.076,0.065,25.54000000000002,15.203833333333334,0.8316
0.067,0.025,44.84000000000003,5.384833333333333,0.368
0.09,0.099,50.620000000000005,19.57316666666667,0.999
0.052,0.031,35.160000000000025,11.327499999999999,0.5922
0.021,0.095,49.0,16.256333333333334,1.0
0.074,0.068,55.610000000000014,28.9395,0.9196
0.078,0.065,28.980000000000018,14.975833333333332,0.8144
0.061,0.056,40.170000000000016,25.995,0.9113
0.079,0.031,31.900000000000034,9.7135,0.3894
0.054,0.026,49.60000000000002,21.811500000000002,0.48
0.057,0.03,42.07000000000005,29.425166666666666,0.53
0.048,0.027,44.06,7.547333333333333,0.55
0.012,0.08,49.78000000000003,5.208,0.9999
0.02,0.042,35.710000000000036,15.8395,0.9971
0.013,0.015,53.879999999999995,7.315666666666667,0.7933
0.067,0.097,40.51000000000005,23.709666666666667,1.0
0.038,0.09,27.379999999999995,27.863666666666667,1.0
0.056,0.093,46.210000000000036,15.8505,1.0
0.092,0.1,49.610000000000014,11.467833333333335,0.9913
0.032,0.026,32.94,15.860000000000001,0.756
0.047,0.046,51.85000000000002,23.086166666666667,0.9555
0.078,0.078,53.57000000000005,5.226333333333333,0.9199
0.031,0.073,31.54000000000002,19.736333333333334,1.0
0.017,0.024,56.27000000000004,20.332333333333334,0.9963
0.036,0.083,26.77000000000004,20.942166666666665,1.0
0.025,0.03,28.920000000000016,11.0505,0.8421
0.094,0.03,28.30000000000001,22.851333333333333,0.32
0.083,0.058,53.14000000000004,7.284833333333333,0.6986
0.067,0.063,44.75,9.981833333333332,0.8986
0.088,0.062,27.170000000000016,26.936833333333333,0.6999
0.082,0.018,37.26000000000005,23.468,0.22
0.027,0.089,43.39000000000004,5.343666666666667,0.999
0.09,0.034,24.77000000000004,11.209333333333332,0.3795
0.059,0.022,52.73000000000002,10.360166666666666,0.37
0.083,0.09,49.98000000000002,11.770166666666666,0.9878
0.091,0.096,39.53000000000003,11.189,0.9672
0.039,0.088,55.700000000000045,6.563166666666667,1.0
0.02,0.083,36.47000000000003,16.473499999999998,1.0
0.031,0.069,56.29000000000002,23.31833333333333,1.0
0.048,0.06,45.23000000000002,20.168333333333333,0.9988
0.084,0.018,44.06,21.821833333333334,0.21
0.087,0.047,27.660000000000025,7.028666666666667,0.5283
0.011,0.044,52.72000000000003,28.787333333333333,1.0
0.056,0.033,36.81,25.962333333333333,0.59
0.048,0.075,27.53000000000003,25.127333333333336,0.9998
0.03,0.055,22.29000000000002,25.574666666666666,0.9984
0.021,0.017,41.44,28.317833333333333,0.7887
0.04,0.03,40.31,18.606333333333335,0.7429
0.095,0.071,47.03000000000003,10.007,0.7491
0.039,0.017,53.01000000000005,20.419666666666668,0.44
0.057,0.087,24.629999999999995,23.572,0.9997
0.073,0.055,47.450000000000045,23.448,0.75
0.043,0.053,28.410000000000025,18.036166666666666,0.972
0.097,0.063,51.89000000000004,6.7115,0.6495
0.097,0.084,50.52000000000004,14.277833333333332,0.8688
0.033,0.041,40.78000000000003,28.019166666666667,0.9964
0.055,0.071,46.710000000000036,19.61116666666667,0.9998
0.037,0.061,32.85000000000002,18.458333333333332,0.999
0.036,0.034,38.34000000000003,11.721333333333332,0.8424
0.013,0.089,50.610000000000014,14.211166666666665,1.0
0.065,0.082,37.920000000000016,27.383666666666667,0.9999
0.055,0.069,34.370000000000005,21.6615,0.9971
0.015,0.087,39.150000000000034,24.684666666666665,1.0
0.035,0.088,50.84000000000003,16.358666666666668,1.0
0.092,0.074,33.58000000000004,20.756166666666665,0.7992
0.032,0.085,27.930000000000007,11.209666666666667,0.9991
0.023,0.073,46.77000000000004,22.6365,1.0
0.054,0.071,50.76000000000005,15.69,0.9997
0.099,0.066,25.370000000000005,16.063666666666666,0.6688
0.032,0.078,30.25,21.233,1.0
0.07,0.024,26.82000000000005,28.407,0.34
0.079,0.089,34.03000000000003,6.6001666666666665,0.9324
0.031,0.088,37.610000000000014,25.618499999999997,1.0
0.076,0.013,48.06,12.309500000000002,0.17
0.043,0.084,44.64000000000004,16.098,1.0
0.067,0.022,43.58000000000004,5.547833333333333,0.3285
0.067,0.04,34.18000000000001,12.526166666666667,0.5979
0.058,0.077,51.30000000000001,17.565833333333334,1.0
0.018,0.024,38.35000000000002,6.404333333333333,0.7785
0.085,0.084,56.120000000000005,17.277333333333335,0.9729
0.039,0.085,44.04000000000002,28.177833333333336,1.0
0.027,0.056,26.27000000000004,7.634833333333333,0.9448
0.014,0.011,45.52000000000004,24.111,0.7458
0.063,0.036,33.23000000000002,15.241833333333334,0.5691
0.071,0.066,45.870000000000005,21.37933333333333,0.9228
0.011,0.098,24.29000000000002,11.505833333333333,0.9999
0.056,0.067,27.970000000000027,8.987333333333334,0.9249
0.03,0.033,51.80000000000001,9.011500000000002,0.9202
0.068,0.067,29.80000000000001,6.762333333333333,0.8407
0.026,0.059,51.150000000000034,9.641166666666667,0.9999
0.072,0.08,31.620000000000005,21.6055,0.9876
0.045,0.02,44.35000000000002,27.042333333333332,0.44
0.094,0.078,46.150000000000034,25.353166666666667,0.83
0.022,0.059,39.79000000000002,22.128333333333334,1.0
0.041,0.097,32.54000000000002,7.760833333333333,0.9982
0.02,0.041,29.29000000000002,12.229666666666667,0.9739
0.093,0.067,23.010000000000048,12.745166666666668,0.7098
0.089,0.094,32.49000000000001,11.249,0.9554
0.033,0.019,44.710000000000036,17.875166666666665,0.5786
0.069,0.094,54.69,18.38883333333333,1.0
0.084,0.072,52.34000000000003,13.922166666666667,0.8585
0.06,0.016,48.660000000000025,13.844666666666665,0.27
0.058,0.037,49.450000000000045,25.713833333333334,0.64
0.032,0.074,45.120000000000005,24.732333333333333,1.0
0.018,0.016,30.960000000000036,12.694833333333333,0.6852
0.091,0.062,53.60000000000002,27.84466666666667,0.68
0.091,0.041,45.33000000000004,28.820333333333334,0.45
0.067,0.066,41.47000000000003,13.1685,0.9371
0.041,0.014,25.730000000000018,13.860666666666667,0.335
0.041,0.088,37.5,17.640833333333333,1.0
0.075,0.098,37.960000000000036,28.528000000000002,1.0
0.091,0.097,52.110000000000014,26.908,0.9993
0.09,0.077,40.98000000000002,7.564166666666667,0.8348
0.08,0.022,35.160000000000025,14.818333333333333,0.27
0.068,0.078,56.04000000000002,18.834333333333333,0.9996
0.018,0.012,25.730000000000018,17.578333333333333,0.5701
0.025,0.012,36.64000000000004,9.846499999999999,0.4431
0.091,0.039,23.32000000000005,26.4705,0.43
0.065,0.054,47.75,21.9235,0.8295
0.011,0.079,53.98000000000002,25.947666666666667,1.0
0.019,0.071,31.650000000000034,26.46916666666667,1.0
0.07,0.05,51.89000000000004,23.708833333333335,0.71
0.01,0.035,32.08000000000004,15.980333333333334,0.9961
0.024,0.1,53.73000000000002,20.263666666666666,1.0
0.059,0.048,48.24000000000001,9.009166666666665,0.7945
0.072,0.051,50.02000000000004,21.841166666666666,0.71
0.069,0.025,22.480000000000018,9.481333333333334,0.3544
0.03,0.082,55.55000000000001,22.348666666666666,1.0
0.074,0.072,47.28000000000003,10.74,0.9311
0.031,0.03,32.52000000000004,7.938833333333333,0.7507
0.039,0.017,50.879999999999995,9.132166666666667,0.4385
0.077,0.071,31.700000000000045,5.049833333333334,0.791
0.068,0.069,52.400000000000034,22.9685,0.9815
0.086,0.035,25.79000000000002,23.31,0.41
0.069,0.096,46.48000000000002,17.873333333333335,1.0
0.061,0.024,40.77000000000004,9.033999999999999,0.3894
0.018,0.049,25.230000000000018,7.088833333333333,0.9256
0.043,0.095,30.32000000000005,5.478166666666667,0.9826
0.034,0.048,22.28000000000003,9.143666666666666,0.8772
0.032,0.067,38.26000000000005,27.271333333333335,1.0
0.098,0.046,32.39000000000004,11.038499999999999,0.4699
0.045,0.035,42.79000000000002,13.856833333333332,0.7673
0.09,0.099,32.25,7.633666666666667,0.9414
0.067,0.047,32.35000000000002,10.559,0.6865
0.082,0.09,47.860000000000014,17.980666666666664,0.9969
0.055,0.031,23.53000000000003,20.193833333333334,0.5573
0.062,0.029,53.450000000000045,11.133833333333333,0.47
0.054,0.013,51.68000000000001,6.443333333333333,0.2398
0.028,0.069,45.22000000000003,14.775833333333333,1.0
0.075,0.043,42.610000000000014,10.855166666666666,0.5697
0.035,0.088,53.08000000000004,10.488833333333334,1.0
0.012,0.053,28.340000000000032,28.9965,1.0
0.068,0.097,24.610000000000014,20.407500000000002,0.9991
0.026,0.027,30.230000000000018,18.922,0.875
0.095,0.088,49.660000000000025,15.394333333333332,0.9244
0.096,0.08,23.060000000000002,15.723666666666666,0.8152
0.092,0.079,42.25,18.522666666666666,0.8587
0.043,0.086,56.69,22.410666666666668,1.0
0.011,0.078,51.80000000000001,22.55366666666667,1.0
0.094,0.066,40.10000000000002,9.292333333333334,0.6979
0.049,0.022,24.08000000000004,17.502833333333335,0.4472
0.097,0.013,50.950000000000045,15.299000000000001,0.13
0.097,0.093,42.81,26.763166666666667,0.9541
0.087,0.065,25.870000000000005,20.785500000000003,0.7481
0.037,0.082,25.140000000000043,18.312666666666665,0.9998
0.045,0.053,53.69,7.884833333333333,0.9709
0.087,0.021,45.27000000000004,20.141000000000002,0.24
0.039,0.021,50.879999999999995,7.930166666666667,0.5335
0.025,0.072,52.610000000000014,13.430166666666667,1.0
0.06,0.049,41.860000000000014,8.571,0.7895
0.094,0.028,39.960000000000036,22.30183333333333,0.3
0.073,0.054,36.910000000000025,10.156333333333333,0.7302
0.061,0.016,32.94,14.7965,0.26
0.019,0.062,37.06,27.391833333333334,1.0
0.065,0.034,48.94,10.107833333333334,0.5199
0.099,0.082,42.920000000000016,17.69516666666667,0.8296
0.023,0.038,53.09000000000003,15.481833333333332,0.9994
0.057,0.051,37.370000000000005,5.453166666666666,0.7723
0.089,0.011,43.10000000000002,24.819000000000003,0.12
0.077,0.017,43.950000000000045,6.726166666666667,0.22
0.073,0.045,42.56,16.856333333333332,0.62
0.073,0.053,46.44,19.017,0.7299
0.042,0.064,30.160000000000025,20.71066666666667,0.9985
0.036,0.036,39.78000000000003,22.215833333333332,0.9329
0.083,0.073,25.5,11.331833333333332,0.8326
0.083,0.087,35.31,5.2495,0.8881
0.088,0.08,38.920000000000016,23.086166666666667,0.9061
0.092,0.014,44.68000000000001,18.391333333333332,0.15
0.056,0.053,55.120000000000005,25.903000000000002,0.9438
0.055,0.019,42.870000000000005,25.534666666666666,0.35
0.082,0.032,47.879999999999995,26.083166666666667,0.39
0.068,0.099,39.57000000000005,17.127333333333336,1.0
0.073,0.023,44.04000000000002,13.340666666666667,0.32
0.082,0.055,24.33000000000004,24.788999999999998,0.6696
0.09,0.066,30.75,16.282333333333334,0.7285
0.04,0.073,34.51000000000005,9.586,0.9949
0.044,0.06,38.39000000000004,26.374333333333333,0.9997
0.018,0.011,23.450000000000045,27.064,0.5642
0.062,0.039,26.75,16.657666666666668,0.6258
0.013,0.057,31.54000000000002,6.8925,0.9837
0.052,0.018,55.85000000000002,14.695666666666666,0.35
0.059,0.042,33.450000000000045,25.0885,0.7094
0.036,0.013,38.72000000000003,27.544333333333334,0.36
0.063,0.017,28.710000000000036,10.086833333333335,0.269
0.013,0.046,43.23000000000002,6.674333333333333,0.9906
0.013,0.022,31.670000000000016,26.933833333333332,0.981
0.084,0.061,29.090000000000032,14.735166666666666,0.7258
0.042,0.072,39.93000000000001,18.544,1.0
0.021,0.082,22.04000000000002,29.201666666666664,1.0
0.057,0.028,22.120000000000005,6.6641666666666675,0.4397
0.079,0.025,29.52000000000004,21.208000000000002,0.32
0.029,0.019,23.140000000000043,6.852666666666667,0.472
0.066,0.067,25.629999999999995,14.386666666666667,0.9152
0.018,0.074,33.710000000000036,25.095333333333333,1.0
0.015,0.013,49.94,15.836833333333335,0.7821
0.058,0.094,41.870000000000005,29.9295,1.0
0.059,0.015,39.79000000000002,18.976499999999998,0.25
0.067,0.059,32.120000000000005,13.029,0.8452
0.075,0.074,54.460000000000036,10.502833333333333,0.9529
0.098,0.088,35.75,13.763,0.8864
0.056,0.074,24.900000000000034,14.313333333333333,0.9792
0.039,0.082,43.450000000000045,6.717833333333333,0.9983
0.082,0.041,25.83000000000004,14.239333333333333,0.4993
0.034,0.083,33.93000000000001,16.606,1.0
0.05,0.017,39.610000000000014,23.068499999999997,0.34
0.017,0.091,52.450000000000045,21.418166666666664,1.0
0.012,0.059,39.120000000000005,22.71916666666667,1.0
0.097,0.084,46.43000000000001,5.2091666666666665,0.8366
0.085,0.051,56.60000000000002,10.441666666666666,0.6
0.073,0.068,26.450000000000045,21.542166666666667,0.9008
0.047,0.057,31.470000000000027,17.099666666666668,0.9775
0.026,0.076,35.660000000000025,5.132833333333334,0.9855
0.024,0.017,36.610000000000014,25.112333333333332,0.6955
0.033,0.015,36.24000000000001,24.32016666666667,0.4497
0.059,0.032,53.620000000000005,18.710500000000003,0.54
0.074,0.024,46.84000000000003,6.6615,0.3199
0.069,0.088,43.129999999999995,24.16283333333333,1.0
0.035,0.03,32.68000000000001,19.59283333333333,0.8159
0.096,0.098,50.68000000000001,24.549,0.9917
0.076,0.04,55.28000000000003,23.793666666666663,0.53
0.06,0.026,50.59000000000003,25.075,0.43
0.065,0.081,21.900000000000034,17.950166666666668,0.983
0.048,0.069,44.120000000000005,8.508166666666666,0.9919
0.032,0.055,23.640000000000043,21.779,0.9961
0.042,0.06,30.870000000000005,20.511833333333335,0.997
0.078,0.075,23.930000000000007,23.556333333333335,0.9231
0.011,0.031,42.98000000000002,9.247000000000002,0.9824
0.02,0.1,45.879999999999995,9.874333333333334,1.0
0.014,0.098,25.860000000000014,27.260166666666667,1.0
0.014,0.069,35.28000000000003,23.7495,1.0
0.087,0.028,37.82000000000005,27.705666666666666,0.32
0.073,0.071,34.77000000000004,23.96783333333333,0.945
0.053,0.016,26.090000000000032,19.928833333333333,0.2999
0.019,0.013,36.51000000000005,21.353333333333335,0.6475
0.054,0.033,48.14000000000004,27.228166666666667,0.61
0.053,0.052,24.340000000000032,19.470166666666668,0.898
0.026,0.088,24.660000000000025,20.809833333333334,1.0
0.049,0.075,34.27000000000004,8.912,0.9866
0.046,0.077,54.81,16.848,1.0
0.065,0.048,45.25,22.91,0.7399
0.067,0.041,45.60000000000002,11.7735,0.6097
0.014,0.043,34.52000000000004,10.056333333333333,0.9895
0.044,0.099,42.629999999999995,12.845666666666666,1.0
0.066,0.014,22.200000000000045,11.0375,0.2089
0.055,0.088,44.110000000000014,10.372833333333334,0.9996
0.087,0.062,53.82000000000005,15.621333333333332,0.71
0.069,0.049,43.29000000000002,27.696,0.71
0.025,0.075,52.43000000000001,17.676499999999997,1.0
0.016,0.054,47.19,9.698,0.9998
0.068,0.089,26.07000000000005,6.924333333333333,0.9364
0.012,0.091,53.44,22.403833333333335,1.0
0.063,0.048,24.180000000000007,14.57,0.7354
0.095,0.035,40.54000000000002,25.545833333333334,0.37
0.062,0.063,26.82000000000005,21.487833333333334,0.9433
0.045,0.092,22.260000000000048,24.906,1.0
0.068,0.029,36.620000000000005,11.798666666666666,0.4298
0.051,0.066,32.18000000000001,22.309,0.997
0.059,0.067,38.860000000000014,11.6015,0.9702
0.095,0.076,42.05000000000001,28.476666666666667,0.8
0.045,0.022,23.379999999999995,20.909333333333333,0.487
0.097,0.074,26.160000000000025,13.112833333333333,0.7519
0.091,0.092,41.400000000000034,11.737833333333333,0.9565
0.028,0.026,33.860000000000014,9.773166666666667,0.7568
0.016,0.031,47.370000000000005,22.366,0.9998
0.019,0.097,44.68000000000001,10.467833333333335,1.0
0.012,0.026,51.450000000000045,19.8825,0.9996
0.018,0.087,46.09000000000003,11.615833333333335,1.0
0.071,0.054,36.900000000000034,21.549166666666668,0.7594
0.016,0.032,45.400000000000034,25.3735,0.9999
0.039,0.088,31.49000000000001,24.450666666666667,1.0
0.086,0.05,32.57000000000005,24.021333333333335,0.58
0.012,0.056,49.460000000000036,9.693000000000001,1.0
0.083,0.042,37.47000000000003,7.209666666666666,0.5077
0.035,0.063,49.79000000000002,22.473666666666666,1.0
0.021,0.025,50.629999999999995,14.208666666666666,0.9531
0.073,0.045,51.860000000000014,15.808666666666666,0.62
0.067,0.097,53.93000000000001,5.778666666666667,0.9978
0.089,0.033,36.93000000000001,11.489333333333333,0.37
0.076,0.069,33.01000000000005,5.841833333333333,0.8082
0.082,0.039,42.23000000000002,26.979666666666667,0.48
0.035,0.08,34.84000000000003,11.085,0.9996
0.026,0.022,42.89000000000004,18.9335,0.812
0.078,0.097,46.55000000000001,5.974500000000001,0.9825
0.083,0.051,45.94,21.671166666666668,0.61
0.099,0.031,34.960000000000036,13.075666666666667,0.31
0.047,0.017,27.689999999999998,27.448,0.36
0.043,0.025,36.920000000000016,27.203,0.5799
0.08,0.057,26.840000000000032,13.132333333333333,0.7016
0.041,0.04,53.0,27.524,0.9579
0.094,0.085,33.960000000000036,29.904,0.8982
0.087,0.049,27.260000000000048,25.63533333333333,0.56
0.049,0.032,22.74000000000001,26.12183333333333,0.6459
0.078,0.066,44.450000000000045,11.225166666666667,0.8409
0.078,0.074,44.14000000000004,19.4175,0.9372
0.019,0.025,33.77000000000004,6.681333333333333,0.7576
0.091,0.025,24.360000000000014,7.373,0.2682
0.055,0.013,36.19,29.97233333333333,0.24
0.084,0.076,32.74000000000001,13.166,0.8741
0.039,0.07,45.55000000000001,23.704666666666665,1.0
0.091,0.053,43.05000000000001,25.166666666666668,0.58
0.045,0.086,34.610000000000014,26.450499999999998,1.0
0.011,0.083,29.480000000000018,29.94066666666667,1.0
0.091,0.063,56.43000000000001,11.037333333333333,0.69
0.018,0.088,37.74000000000001,6.008833333333333,0.9991
0.039,0.029,45.94,15.279833333333332,0.7331
0.096,0.02,26.77000000000004,8.252,0.2098
0.096,0.034,38.85000000000002,5.560666666666666,0.3493
0.062,0.015,22.810000000000002,14.010666666666667,0.2395
0.067,0.058,39.54000000000002,24.5935,0.8671
0.05,0.094,55.59000000000003,19.1545,1.0
0.036,0.014,35.30000000000001,12.8195,0.3862
0.04,0.021,23.210000000000036,21.3585,0.5141
0.071,0.051,22.930000000000007,10.8005,0.6879
0.078,0.094,35.43000000000001,5.3595,0.9388
0.081,0.038,27.450000000000045,24.108833333333333,0.47
0.081,0.056,22.670000000000016,20.5935,0.6879
0.018,0.014,48.32000000000005,24.0575,0.7601
0.054,0.023,37.900000000000034,5.9735000000000005,0.4173
0.015,0.099,31.970000000000027,25.928,1.0
0.059,0.097,53.35000000000002,20.488166666666665,1.0
0.05,0.01,25.910000000000025,19.084833333333332,0.1999
0.09,0.096,55.31,20.615333333333336,0.9986
0.042,0.068,32.84000000000003,26.610833333333336,1.0
0.021,0.088,52.94,19.673333333333336,1.0
0.023,0.051,42.950000000000045,19.523833333333336,1.0
0.079,0.056,50.78000000000003,29.767,0.71
0.066,0.054,56.29000000000002,23.918333333333333,0.82
0.019,0.07,31.939999999999998,16.057333333333336,1.0
0.018,0.023,55.49000000000001,22.685,0.9928
0.073,0.013,35.48000000000002,14.730833333333333,0.18
0.017,0.038,35.34000000000003,10.721833333333333,0.9799
0.084,0.073,33.76000000000005,19.921333333333333,0.8642
0.074,0.028,40.80000000000001,28.2045,0.38
0.017,0.071,27.25,28.2285,1.0
0.018,0.097,41.23000000000002,13.547666666666666,1.0
0.099,0.018,40.81,18.192,0.18
0.044,0.071,48.52000000000004,10.290833333333333,0.9995
0.043,0.05,51.03000000000003,29.890833333333333,0.9993
0.083,0.088,37.27000000000004,29.528000000000002,0.9939
0.095,0.026,32.43000000000001,21.237666666666666,0.27
0.099,0.072,30.930000000000007,25.110333333333333,0.73
0.078,0.085,28.660000000000025,22.8775,0.9845
0.044,0.095,23.870000000000005,19.829,1.0
0.018,0.071,33.84000000000003,6.333666666666667,0.993
0.08,0.055,31.310000000000002,16.369166666666665,0.6887
0.06,0.066,55.670000000000016,21.869666666666667,0.9982
0.048,0.088,41.370000000000005,21.938333333333333,1.0
0.092,0.061,34.0,14.328,0.6596
0.02,0.013,42.170000000000016,28.542333333333332,0.6448
0.054,0.094,26.720000000000027,9.184,0.991
0.011,0.072,37.39000000000004,17.509,1.0
0.052,0.071,43.77000000000004,22.272166666666667,1.0
0.015,0.029,38.960000000000036,22.428333333333335,0.9975
0.021,0.069,35.910000000000025,21.216,1.0
0.021,0.045,56.629999999999995,11.882166666666667,0.9999
0.068,0.069,52.660000000000025,8.905166666666666,0.9478
0.077,0.02,43.670000000000016,20.898500000000002,0.26
0.063,0.069,41.78000000000003,19.9825,0.9905
0.097,0.1,43.57000000000005,9.483833333333333,0.9618
0.044,0.014,28.900000000000034,22.6285,0.3199
0.036,0.098,35.68000000000001,16.37933333333333,1.0
0.088,0.047,23.230000000000018,21.694000000000003,0.5299
0.03,0.088,38.49000000000001,25.934166666666666,1.0
0.097,0.08,40.860000000000014,9.243166666666667,0.8116
0.011,0.061,29.82000000000005,5.478666666666667,0.9686
0.097,0.076,55.59000000000003,24.477500000000003,0.78
0.014,0.089,53.68000000000001,20.2425,1.0
0.09,0.046,47.129999999999995,22.491,0.51
0.057,0.039,40.52000000000004,25.953833333333332,0.68
0.099,0.07,52.30000000000001,25.070333333333334,0.71
0.017,0.083,26.420000000000016,29.023000000000003,1.0
0.06,0.079,49.52000000000004,18.398333333333333,1.0
0.097,0.082,26.220000000000027,17.212333333333333,0.8398
0.057,0.049,49.650000000000034,15.047166666666667,0.8535
0.067,0.084,31.5,8.842333333333332,0.9654
0.073,0.021,52.55000000000001,19.315166666666666,0.29
0.051,0.059,54.89000000000004,11.925333333333333,0.9917
0.066,0.011,27.060000000000002,28.032666666666668,0.17
0.063,0.039,38.04000000000002,19.579833333333333,0.6199
0.091,0.043,56.18000000000001,19.821,0.47
0.014,0.046,38.77000000000004,13.873166666666666,0.9996
0.035,0.073,52.07000000000005,6.299666666666667,0.9992
0.096,0.045,42.460000000000036,5.793666666666667,0.4691
0.09,0.05,34.99000000000001,15.583333333333334,0.56
0.051,0.031,31.850000000000023,7.114166666666667,0.5675
0.066,0.044,28.960000000000036,20.171166666666668,0.6686
0.035,0.03,48.51000000000005,27.024333333333335,0.8546
0.027,0.017,35.379999999999995,27.07283333333333,0.6256
0.052,0.064,39.74000000000001,21.476166666666664,0.9978
0.042,0.07,39.08000000000004,10.280833333333334,0.997
0.063,0.066,42.05000000000001,26.575,0.9878
0.017,0.052,52.150000000000034,27.152333333333335,1.0
0.098,0.044,56.18000000000001,9.916333333333334,0.45
0.099,0.088,36.120000000000005,23.43566666666667,0.8879
0.073,0.057,50.81,12.163,0.7788
0.058,0.053,48.610000000000014,25.066,0.9062
0.038,0.012,41.920000000000016,29.930999999999997,0.32
0.083,0.041,55.31,5.750666666666667,0.4898
0.072,0.044,28.870000000000005,27.434166666666666,0.61
0.025,0.046,25.670000000000016,20.565833333333334,0.9942
0.092,0.062,51.74000000000001,29.3345,0.67
0.084,0.058,37.22000000000003,16.625166666666665,0.6898
